Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0005264184 --- Pittsburgh Intl, United States (PIT)
0.000525475 --- Emelyanovo, Russia (KJA)
0.0005247378 --- Santo Pekoa International Airport, Vanuatu (SON)
0.0005246038 --- Penang Intl, Malaysia (PEN)
0.0005227713 --- Vaernes, Norway (TRD)
0.0005222945 --- Douala, Cameroon (DLA)
0.0005206724 --- Sanaa Intl, Yemen (SAH)
0.0005178364 --- Inuvik Mike Zubko, Canada (YEV)
0.000516453 --- Phoenix-Mesa Gateway, United States (AZA)
0.0005146925 --- Adnan Menderes, Turkey (ADB)
0.0005121615 --- Novy, Russia (KHV)
0.0005108294 --- Alfonso Bonilla Aragon Intl, Colombia (CLO)
0.0005100812 --- Townsville, Australia (TSV)
0.0005090049 --- Sir Seewoosagur Ramgoolam Intl, Mauritius (MRU)
0.0005026919 --- Cochin, India (COK)
0.0005006854 --- Nuuk, Greenland (GOH)
0.0005002354 --- Unalaska, United States (DUT)
0.0005002036 --- Tobias Bolanos International Airport, Costa Rica (SYQ)
0.0004996477 --- Pinto Martins Intl, Brazil (FOR)
0.0004968792 --- Bilbao, Spain (BIO)
0.0004967301 --- Albuquerque International Sunport, United States (ABQ)
0.0004961652 --- Indianapolis Intl, United States (IND)
0.0004940534 --- Luxembourg, Luxembourg (LUX)
0.0004917937 --- General Abelardo L Rodriguez Intl, Mexico (TIJ)
0.0004898335 --- Viru Viru Intl, Bolivia (VVI)
0.0004884961 --- Port Columbus Intl, United States (CMH)
0.0004881072 --- Allama Iqbal Intl, Pakistan (LHE)
0.0004873877 --- Wenzhou Yongqiang Airport, China (WNZ)
0.000486057 --- Bodo, Norway (BOO)
0.0004831424 --- Hato, Netherlands Antilles (CUR)
0.0004812575 --- Kuujjuaq, Canada (YVP)
0.0004799277 --- Reina Beatrix Intl, Aruba (AUA)
0.0004789105 --- Menara, Morocco (RAK)
0.0004774974 --- Southwest Florida Intl, United States (RSW)
0.0004745514 --- Luogang, China (HFE)
0.0004713379 --- Minsk 2, Belarus (MSQ)
0.0004702823 --- Elmas, Italy (CAG)
0.0004671902 --- Liverpool, United Kingdom (LPL)
0.0004658647 --- Merignac, France (BOD)
0.0004621208 --- Gimpo, South Korea (GMP)
0.0004594638 --- Lokpriya Gopinath Bordoloi International Airport, India (GAU)
0.000459163 --- Yakutsk, Russia (YKS)
0.0004579842 --- Tallinn, Estonia (TLL)
