Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0002193194 --- Olaya Herrera, Colombia (EOH)
0.0002191016 --- Riga Intl, Latvia (RIX)
0.0002190122 --- Gimpo, South Korea (GMP)
0.0002189605 --- Khomutovo, Russia (UUS)
0.0002189349 --- Shenyang Taoxian International Airport, China (SHE)
0.0002186952 --- Chennai Intl, India (MAA)
0.0002182273 --- Billings Logan International Airport, United States (BIL)
0.0002177062 --- Bromma, Sweden (BMA)
0.0002176822 --- Ibiza, Spain (IBZ)
0.0002176137 --- Emelyanovo, Russia (KJA)
0.000217154 --- Rankin Inlet, Canada (YRT)
0.0002171365 --- Koln Bonn, Germany (CGN)
0.0002164945 --- Thunder Bay, Canada (YQT)
0.0002164699 --- Leopold Sedar Senghor Intl, Senegal (DKR)
0.0002164509 --- Kuujjuaq, Canada (YVP)
0.0002162836 --- Juanda, Indonesia (SUB)
0.0002162281 --- General Mariano Escobedo Intl, Mexico (MTY)
0.000215891 --- King Fahd Intl, Saudi Arabia (DMM)
0.000215815 --- Antalya, Turkey (AYT)
0.0002153869 --- Marudi, Malaysia (MUR)
0.0002152866 --- Baita Airport, China (HET)
0.0002150911 --- Unalaska, United States (DUT)
0.0002150334 --- Sepinggan, Indonesia (BPN)
0.0002150047 --- Queen Alia Intl, Jordan (AMM)
0.0002147351 --- Stuttgart, Germany (STR)
0.0002146981 --- Nikos Kazantzakis, Greece (HER)
0.0002146227 --- Longdongbao, China (KWE)
0.0002143222 --- Halifax Intl, Canada (YHZ)
0.0002142794 --- St Petersburg Clearwater Intl, United States (PIE)
0.0002141547 --- Kuching Intl, Malaysia (KCH)
0.0002141353 --- Lokpriya Gopinath Bordoloi International Airport, India (GAU)
0.0002135351 --- Venezia Tessera, Italy (VCE)
0.0002132977 --- Lukou, China (NKG)
0.0002132382 --- Santos Dumont, Brazil (SDU)
0.0002130864 --- Munda Airport, Solomon Islands (MUA)
0.0002123694 --- Sept Iles, Canada (YZV)
0.000212292 --- Kansai, Japan (KIX)
0.0002120011 --- Grantley Adams Intl, Barbados (BGI)
0.0002119424 --- Memphis Intl, United States (MEM)
0.000211689 --- Carthage, Tunisia (TUN)
0.0002115606 --- Porto, Portugal (OPO)
0.0002102516 --- Mwalimu Julius K Nyerere Intl, Tanzania (DAR)
0.0002100684 --- Vaernes, Norway (TRD)
0.0002100036 --- William P Hobby, United States (HOU)
0.0002097118 --- Ministro Pistarini, Argentina (EZE)
0.0002093742 --- Maputo, Mozambique (MPM)
0.0002093587 --- Sir Seewoosagur Ramgoolam Intl, Mauritius (MRU)
0.0002092823 --- Jersey, Jersey (JER)
0.0002091365 --- Tenerife Sur, Spain (TFS)
0.0002090497 --- Kuwait Intl, Kuwait (KWI)
0.0002088871 --- Ruzyne, Czech Republic (PRG)
0.0002087796 --- Tte Av Jorge Henrich Arauz, Bolivia (TDD)
0.0002087192 --- V C Bird Intl, Antigua and Barbuda (ANU)
0.000208537 --- Guararapes Gilberto Freyre Intl, Brazil (REC)
0.0002084566 --- Quebec Jean Lesage Intl, Canada (YQB)
0.0002078999 --- Townsville, Australia (TSV)
0.0002078581 --- Tallinn, Estonia (TLL)
0.0002076527 --- Lajes, Portugal (TER)
0.0002074638 --- Temindung, Indonesia (SRI)
0.0002074166 --- Nashville Intl, United States (BNA)
0.0002073677 --- Dallas Love Fld, United States (DAL)
0.000207058 --- Alfredo Vasquez Cobo, Colombia (LET)
0.0002070347 --- Male Intl, Maldives (MLE)
0.0002069059 --- Ottawa Macdonald Cartier Intl, Canada (YOW)
0.0002066687 --- Providenciales, Turks and Caicos Islands (PLS)
0.000206667 --- Hang Nadim, Indonesia (BTH)
0.0002064759 --- Bateen, United Arab Emirates (AZI)
0.0002060847 --- Myrtle Beach Intl, United States (MYR)
0.0002060284 --- Santarem, Brazil (STM)
0.0002058085 --- San Diego Intl, United States (SAN)
0.0002058014 --- Irkutsk, Russia (IKT)
0.0002057201 --- Xinzheng, China (CGO)
0.0002056861 --- Longreach Airport, Australia (LRE)
0.0002055026 --- Nuuk, Greenland (GOH)
0.0002054893 --- Okecie, Poland (WAW)
0.0002054416 --- Toamasina, Madagascar (TMM)
0.0002049674 --- Albuquerque International Sunport, United States (ABQ)
0.0002048008 --- Kansas City Intl, United States (MCI)
0.0002046674 --- Yaounde Nsimalen, Cameroon (NSI)
0.0002044954 --- Geneve Cointrin, Switzerland (GVA)
0.0002044836 --- Ponta Delgada, Portugal (PDL)
