Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0003086106 --- Xiaoshan, China (HGH)
0.000307897 --- Phoenix-Mesa Gateway, United States (AZA)
0.0003061671 --- Darwin Intl, Australia (DRW)
0.0003059773 --- Gaoqi, China (XMN)
0.0003053174 --- Astana Intl, Kazakhstan (TSE)
0.0003052388 --- Tancredo Neves Intl, Brazil (CNF)
0.0003042079 --- Khartoum, Sudan (KRT)
0.0003027123 --- Yakutsk, Russia (YKS)
0.0003024397 --- La Guardia, United States (LGA)
0.0003020987 --- Beijing Nanyuan Airport, China (NAY)
0.0003015926 --- Hyderabad, India (HYD)
0.0003015221 --- Zia Intl, Bangladesh (DAC)
0.0003013151 --- Yangon Intl, Burma (RGN)
0.0003011483 --- Liuting, China (TAO)
0.0003006785 --- Edinburgh, United Kingdom (EDI)
0.0003001043 --- Flesland, Norway (BGO)
0.0002971594 --- Tianhe, China (WUH)
0.0002959795 --- Malaga, Spain (AGP)
0.0002945423 --- Taiping, China (HRB)
0.0002937365 --- Congonhas, Brazil (CGH)
0.0002908945 --- Boryspil Intl, Ukraine (KBP)
0.0002905296 --- El Alto Intl, Bolivia (LPB)
0.0002900252 --- Reykjavik, Iceland (RKV)
0.0002898573 --- Tocumen Intl, Panama (PTY)
0.0002885047 --- Kota Kinabalu Intl, Malaysia (BKI)
0.0002881552 --- Doha Intl, Qatar (DOH)
0.0002879591 --- Tampa Intl, United States (TPA)
0.0002872565 --- Lusaka Intl, Zambia (LUN)
0.0002866483 --- Val De Cans Intl, Brazil (BEL)
0.0002863623 --- Tegel, Germany (TXL)
0.0002857233 --- Bodo, Norway (BOO)
0.0002856557 --- Salgado Filho, Brazil (POA)
0.0002847707 --- General Abelardo L Rodriguez Intl, Mexico (TIJ)
0.0002838929 --- Galeao Antonio Carlos Jobim, Brazil (GIG)
0.0002819278 --- Tolmachevo, Russia (OVB)
0.0002817315 --- Sanaa Intl, Yemen (SAH)
0.0002814464 --- Jose Joaquin De Olmedo Intl, Ecuador (GYE)
0.0002809801 --- Baltimore Washington Intl, United States (BWI)
0.0002806337 --- Tobias Bolanos International Airport, Costa Rica (SYQ)
0.0002805614 --- Huanghua, China (CSX)
0.0002801231 --- Chaklala, Pakistan (ISB)
0.000279245 --- Seeb Intl, Oman (MCT)
0.0002790001 --- Kahului, United States (OGG)
0.0002778672 --- Polonia, Indonesia (MES)
0.0002777957 --- Wattay Intl, Laos (VTE)
0.0002776443 --- Goose Bay, Canada (YYR)
0.00027744 --- Winnipeg Intl, Canada (YWG)
0.0002769473 --- Pampulha Carlos Drummond De Andrade, Brazil (PLU)
0.0002767804 --- Santo Pekoa International Airport, Vanuatu (SON)
0.0002767398 --- Inuvik Mike Zubko, Canada (YEV)
0.0002752313 --- Fukuoka, Japan (FUK)
0.0002751812 --- Alfonso Bonilla Aragon Intl, Colombia (CLO)
0.0002751615 --- Aniak Airport, United States (ANI)
0.000274377 --- Zhoushuizi, China (DLC)
0.0002741367 --- Wabush, Canada (YWK)
0.0002739989 --- Talagi, Russia (ARH)
0.0002732273 --- Princess Juliana Intl, Netherlands Antilles (SXM)
0.0002726529 --- Langnes, Norway (TOS)
0.0002724835 --- Don Miguel Hidalgo Y Costilla Intl, Mexico (GDL)
0.0002720432 --- Sentani, Indonesia (DJJ)
0.0002717319 --- Kirkwall, United Kingdom (KOI)
0.000271315 --- Rhodes Diagoras, Greece (RHO)
0.0002710406 --- Naha, Japan (OKA)
0.0002707401 --- Chennai Intl, India (MAA)
0.000270472 --- Ibiza, Spain (IBZ)
0.0002697714 --- Kodiak, United States (ADQ)
0.0002696965 --- Zhuliany Intl, Ukraine (IEV)
0.0002696838 --- Riga Intl, Latvia (RIX)
0.0002690915 --- Kansai, Japan (KIX)
0.0002682677 --- Juanda, Indonesia (SUB)
0.0002679626 --- Luton, United Kingdom (LTN)
0.0002675259 --- Shiraz Shahid Dastghaib Intl, Iran (SYZ)
0.0002672853 --- Brussels South, Belgium (CRL)
0.0002670702 --- Shenyang Taoxian International Airport, China (SHE)
0.0002663736 --- Koln Bonn, Germany (CGN)
0.0002657134 --- Queen Alia Intl, Jordan (AMM)
0.000265398 --- Rankin Inlet, Canada (YRT)
0.0002641879 --- Antalya, Turkey (AYT)
0.0002637295 --- Stuttgart, Germany (STR)
0.0002632961 --- Chiang Mai Intl, Thailand (CNX)
0.0002632205 --- Venezia Tessera, Italy (VCE)
0.0002630514 --- Gimpo, South Korea (GMP)
0.0002629541 --- Billings Logan International Airport, United States (BIL)
0.0002629195 --- Lukou, China (NKG)
0.0002627948 --- Nikos Kazantzakis, Greece (HER)
0.0002618176 --- Olaya Herrera, Colombia (EOH)
0.0002616736 --- Thunder Bay, Canada (YQT)
0.0002616489 --- King Fahd Intl, Saudi Arabia (DMM)
0.0002614836 --- Emelyanovo, Russia (KJA)
0.0002610981 --- Khrabrovo, Russia (KGD)
0.0002606813 --- General Mariano Escobedo Intl, Mexico (MTY)
0.0002605048 --- Leopold Sedar Senghor Intl, Senegal (DKR)
0.0002594672 --- Sepinggan, Indonesia (BPN)
0.0002589716 --- Longdongbao, China (KWE)
0.0002588246 --- Baita Airport, China (HET)
0.0002585605 --- Kuujjuaq, Canada (YVP)
0.0002585306 --- Khomutovo, Russia (UUS)
0.0002568245 --- Bromma, Sweden (BMA)
0.0002563614 --- Sept Iles, Canada (YZV)
0.000255852 --- Ministro Pistarini, Argentina (EZE)
0.0002555657 --- Halifax Intl, Canada (YHZ)
0.0002555563 --- Ruzyne, Czech Republic (PRG)
0.000254517 --- Kuwait Intl, Kuwait (KWI)
0.0002543559 --- Porto, Portugal (OPO)
0.0002541875 --- Santos Dumont, Brazil (SDU)
0.0002541649 --- Carthage, Tunisia (TUN)
0.0002540166 --- Unalaska, United States (DUT)
0.0002535891 --- Lokpriya Gopinath Bordoloi International Airport, India (GAU)
0.0002532616 --- Kuching Intl, Malaysia (KCH)
0.0002530532 --- Marudi, Malaysia (MUR)
0.0002524261 --- Memphis Intl, United States (MEM)
0.0002500933 --- San Diego Intl, United States (SAN)
0.0002497248 --- St Petersburg Clearwater Intl, United States (PIE)
0.0002497155 --- Munda Airport, Solomon Islands (MUA)
0.0002495312 --- Tenerife Sur, Spain (TFS)
0.0002485285 --- Vaernes, Norway (TRD)
0.0002485279 --- William P Hobby, United States (HOU)
0.0002484368 --- Geneve Cointrin, Switzerland (GVA)
0.0002470145 --- Okecie, Poland (WAW)
0.0002468671 --- Grantley Adams Intl, Barbados (BGI)
0.0002465119 --- Sir Seewoosagur Ramgoolam Intl, Mauritius (MRU)
0.0002465102 --- Nashville Intl, United States (BNA)
0.0002463685 --- Quebec Jean Lesage Intl, Canada (YQB)
0.0002459622 --- Mwalimu Julius K Nyerere Intl, Tanzania (DAR)
0.000245618 --- Xinzheng, China (CGO)
0.0002450523 --- Ottawa Macdonald Cartier Intl, Canada (YOW)
0.0002449166 --- Guararapes Gilberto Freyre Intl, Brazil (REC)
0.0002448917 --- Maputo, Mozambique (MPM)
0.000244502 --- Ben Gurion, Israel (TLV)
0.000244323 --- Townsville, Australia (TSV)
0.0002431637 --- Kansas City Intl, United States (MCI)
0.0002423127 --- Jersey, Jersey (JER)
0.0002421431 --- Tte Av Jorge Henrich Arauz, Bolivia (TDD)
0.0002420883 --- Tallinn, Estonia (TLL)
0.0002419781 --- V C Bird Intl, Antigua and Barbuda (ANU)
0.0002406942 --- Male Intl, Maldives (MLE)
0.0002399633 --- Hamburg, Germany (HAM)
0.0002397707 --- Nuuk, Greenland (GOH)
0.0002394461 --- Providenciales, Turks and Caicos Islands (PLS)
0.0002393758 --- Temindung, Indonesia (SRI)
0.0002393306 --- Bristol, United Kingdom (BRS)
0.0002386759 --- Dallas Love Fld, United States (DAL)
0.0002385899 --- Hang Nadim, Indonesia (BTH)
0.000238021 --- Alfredo Vasquez Cobo, Colombia (LET)
0.0002378941 --- Lajes, Portugal (TER)
0.0002374497 --- Irkutsk, Russia (IKT)
0.0002371483 --- Santarem, Brazil (STM)
0.0002371352 --- Albuquerque International Sunport, United States (ABQ)
0.0002369245 --- Binhai, China (TSN)
0.0002366476 --- Douala, Cameroon (DLA)
0.0002365865 --- Myrtle Beach Intl, United States (MYR)
0.0002365276 --- Bateen, United Arab Emirates (AZI)
0.0002359438 --- Chubu Centrair Intl, Japan (NGO)
0.000235578 --- Vityazevo, Russia (AAQ)
0.0002351555 --- Nottingham East Midlands, United Kingdom (EMA)
0.0002347878 --- Ilulissat, Greenland (JAV)
0.0002347587 --- Toamasina, Madagascar (TMM)
0.0002346983 --- Makedonia, Greece (SKG)
0.000234623 --- Pattimura, Indonesia (AMQ)
0.0002343433 --- Yaounde Nsimalen, Cameroon (NSI)
0.0002331331 --- Ponta Delgada, Portugal (PDL)
0.0002327166 --- Metropolitan Oakland Intl, United States (OAK)
0.0002326227 --- Nagasaki, Japan (NGS)
0.0002325915 --- Longreach Airport, Australia (LRE)
0.0002322728 --- Blagnac, France (TLS)
0.0002322579 --- Hammerfest Airport, Norway (HFT)
0.0002313193 --- Red Lake Airport, Canada (YRL)
0.0002309802 --- Waskaganish Airport, Canada (YKQ)
0.0002309075 --- Jijiga Airport, Ethiopia (JIJ)
0.000230796 --- Wiley Post Will Rogers Mem, United States (BRW)
0.0002298943 --- Southampton, United Kingdom (SOU)
0.0002298513 --- Goloson Intl, Honduras (LCE)
0.0002295922 --- Zamboanga Intl, Philippines (ZAM)
0.0002295412 --- Mount Isa, Australia (ISA)
0.0002295023 --- Ondjiva Pereira Airport, Angola (VPE)
0.0002292911 --- Adnan Menderes, Turkey (ADB)
0.0002292025 --- Faro, Portugal (FAO)
0.0002290619 --- Fort Yukon, United States (FYU)
0.0002280787 --- Jefman, Indonesia (SOQ)
0.0002278594 --- Tenerife Norte, Spain (TFN)
0.0002277831 --- Tokua Airport, Papua New Guinea (RAB)
0.0002275636 --- Hato, Netherlands Antilles (CUR)
0.000227358 --- Sondre Stromfjord, Greenland (SFJ)
0.000227171 --- Dyce, United Kingdom (ABZ)
0.0002270552 --- Rangiroa, French Polynesia (RGI)
0.0002268763 --- Lanzarote, Spain (ACE)
0.0002267378 --- Lanzhou Airport, China (LHW)
0.0002266075 --- Edward G Pitka Sr, United States (GAL)
0.000225993 --- Sam Ratulangi, Indonesia (MDC)
0.0002259861 --- Philip S W Goldson Intl, Belize (BZE)
0.0002252982 --- Frankfurt Hahn, Germany (HHN)
0.000225122 --- McGrath Airport, United States (MCG)
0.0002249131 --- Bandaranaike Intl Colombo, Sri Lanka (CMB)
0.0002248672 --- Eros Airport, Namibia (ERS)
0.0002248657 --- Niederrhein, Germany (NRN)
0.0002247526 --- Albany Intl, United States (ALB)
0.0002244837 --- Es Senia, Algeria (ORN)
0.0002239773 --- Caye Caulker Airport, Belize (CUK)
0.0002239574 --- Governador Jorge Teixeira De Oliveira, Brazil (PVH)
0.0002236284 --- Penang Intl, Malaysia (PEN)
0.0002235917 --- Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire (ABJ)
0.0002234328 --- Pisa, Italy (PSA)
0.0002230979 --- Liverpool, United Kingdom (LPL)
0.0002225892 --- Esfahan Shahid Beheshti Intl, Iran (IFN)
0.0002222608 --- Allama Iqbal Intl, Pakistan (LHE)
0.0002221691 --- Guam Intl, Guam (GUM)
0.0002221186 --- Gurney Airport, Papua New Guinea (GUR)
0.0002219979 --- Kigali Intl, Rwanda (KGL)
0.000221985 --- Split, Croatia (SPU)
0.000221927 --- Boeing Fld King Co Intl, United States (BFI)
0.0002210298 --- Toncontin Intl, Honduras (TGU)
0.0002205791 --- Narsarsuaq, Greenland (UAK)
0.0002205305 --- Maningrida Airport, Australia (MNG)
0.0002203296 --- Beograd, Serbia (BEG)
0.0002201829 --- Santa Cruz, Bolivia (SRZ)
0.0002201776 --- Mount Hagen, Papua New Guinea (HGU)
0.0002198379 --- Cochin, India (COK)
0.0002197542 --- Novy, Russia (KHV)
0.0002196579 --- Entebbe Intl, Uganda (EBB)
0.0002193734 --- Newcastle, United Kingdom (NCL)
0.0002193656 --- Heydar Aliyev, Azerbaijan (GYD)
0.0002193288 --- Syktyvkar, Russia (SCW)
0.0002192037 --- Santa Maria Airport, Brazil (RIA)
0.0002190756 --- Viru Viru Intl, Bolivia (VVI)
0.0002187589 --- Jinan, China (TNA)
0.0002184993 --- Xining Caojiabu Airport, China (XNN)
0.0002183914 --- Pierre Regional Airport, United States (PIR)
0.0002180788 --- Ioannis Kapodistrias Intl, Greece (CFU)
0.0002172465 --- Changle, China (FOC)
0.0002171057 --- Visby, Sweden (VBY)
0.0002168141 --- Durban Intl, South Africa (DUR)
0.0002167347 --- Sungshan, Taiwan (TSA)
0.0002166552 --- Elmas, Italy (CAG)
0.0002161696 --- Wales Airport, United States (WAA)
0.000216167 --- Del Caribe Intl Gen Santiago Marino, Venezuela (PMV)
0.0002157901 --- Tille, France (BVA)
0.0002155314 --- Wuxu, China (NNG)
0.000215324 --- Benina, Libya (BEN)
0.0002142032 --- Reina Beatrix Intl, Aruba (AUA)
0.0002140762 --- Cadjehoun, Benin (COO)
0.0002138868 --- Gimhae Intl, South Korea (PUS)
0.0002138515 --- El Tari, Indonesia (KOE)
0.0002134033 --- Kuujjuarapik Airport, Canada (YGW)
0.0002124437 --- Ferihegy, Hungary (BUD)
0.0002123704 --- Campo Dell Oro, France (AJA)
0.000212327 --- Piarco, Trinidad and Tobago (POS)
0.0002118611 --- Kos, Greece (KGS)
0.0002116414 --- Resolute Bay, Canada (YRB)
0.0002115543 --- General Ignacio P Garcia Intl, Mexico (HMO)
0.000211312 --- Peshawar Intl, Pakistan (PEW)
0.000211202 --- Borg El Arab Intl, Egypt (HBE)
0.000210984 --- Menorca, Spain (MAH)
0.0002109673 --- Menara, Morocco (RAK)
0.0002109481 --- General Manuel Carlos Piar, Venezuela (PZO)
0.0002105385 --- Santa Genoveva, Brazil (GYN)
0.0002100004 --- Ouagadougou, Burkina Faso (OUA)
0.0002097305 --- Danang Intl, Vietnam (DAD)
0.0002096421 --- Vanguardia, Colombia (VVC)
0.0002095321 --- St Denis Gillot, Reunion (RUN)
0.0002094811 --- Tamanrasset, Algeria (TMR)
0.0002094793 --- San Pedro, Belize (SPR)
0.0002093353 --- Minsk 2, Belarus (MSQ)
0.0002093082 --- Unalakleet Airport, United States (UNK)
0.0002088128 --- Luqa, Malta (MLA)
0.0002086414 --- Phuket Intl, Thailand (HKT)
0.0002085673 --- Aktau, Kazakhstan (SCO)
0.0002085083 --- Catania Fontanarossa, Italy (CTA)
