Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0004619152 --- Esenboga, Turkey (ESB)
0.0004610654 --- Tianhe, China (WUH)
0.0004592016 --- Afonso Pena, Brazil (CWB)
0.000456955 --- Yuzhny, Uzbekistan (TAS)
0.0004569195 --- Christchurch Intl, New Zealand (CHC)
0.0004558333 --- Edinburgh, United Kingdom (EDI)
0.0004557548 --- Iqaluit, Canada (YFB)
0.0004518682 --- Baltimore Washington Intl, United States (BWI)
0.0004511444 --- Tampa Intl, United States (TPA)
0.0004496777 --- Kansai, Japan (KIX)
0.0004491252 --- Marechal Rondon, Brazil (CGB)
0.0004484619 --- Nairobi Wilson, Kenya (WIL)
0.0004470151 --- Tanna island, Vanuatu (TAH)
0.0004433876 --- Yangon Intl, Burma (RGN)
0.0004406612 --- Osaka Intl, Japan (ITM)
0.0004406018 --- Girona, Spain (GRO)
0.0004355575 --- Hyderabad, India (HYD)
0.0004341292 --- Rarotonga Intl, Cook Islands (RAR)
0.0004339565 --- Salgado Filho, Brazil (POA)
0.0004337211 --- Boryspil Intl, Ukraine (KBP)
0.0004332458 --- Huanghua, China (CSX)
0.0004314949 --- Taiping, China (HRB)
0.0004304308 --- Khartoum, Sudan (KRT)
0.0004300788 --- Zia Intl, Bangladesh (DAC)
0.0004299224 --- Flesland, Norway (BGO)
0.0004281559 --- Congonhas, Brazil (CGH)
0.0004277978 --- Astana Intl, Kazakhstan (TSE)
0.0004274544 --- City, United Kingdom (LCY)
0.0004230348 --- Tolmachevo, Russia (OVB)
0.0004181931 --- Seeb Intl, Oman (MCT)
0.000415101 --- Ibiza, Spain (IBZ)
0.0004126131 --- Phoenix-Mesa Gateway, United States (AZA)
0.0004122049 --- El Alto Intl, Bolivia (LPB)
0.0004097103 --- Val De Cans Intl, Brazil (BEL)
0.000409035 --- Kota Kinabalu Intl, Malaysia (BKI)
0.0004089789 --- Winnipeg Intl, Canada (YWG)
0.0004069616 --- Chennai Intl, India (MAA)
0.0004061295 --- Juanda, Indonesia (SUB)
0.0004053737 --- Lukou, China (NKG)
0.0004047487 --- Fukuoka, Japan (FUK)
0.0004044045 --- Venezia Tessera, Italy (VCE)
0.0004036637 --- Queen Alia Intl, Jordan (AMM)
0.0004032277 --- Yakutsk, Russia (YKS)
0.0004015539 --- Reykjavik, Iceland (RKV)
0.0003997 --- Jose Joaquin De Olmedo Intl, Ecuador (GYE)
0.0003987415 --- Ruzyne, Czech Republic (PRG)
0.0003985541 --- Zhoushuizi, China (DLC)
0.0003980136 --- Stuttgart, Germany (STR)
0.0003963312 --- Rhodes Diagoras, Greece (RHO)
0.000395318 --- Don Miguel Hidalgo Y Costilla Intl, Mexico (GDL)
0.0003950484 --- Beijing Nanyuan Airport, China (NAY)
0.0003949449 --- Aniak Airport, United States (ANI)
0.0003929628 --- Lusaka Intl, Zambia (LUN)
0.0003927835 --- Riga Intl, Latvia (RIX)
0.0003915319 --- Ministro Pistarini, Argentina (EZE)
0.0003908425 --- Geneve Cointrin, Switzerland (GVA)
0.0003905034 --- Koln Bonn, Germany (CGN)
0.0003903474 --- Nikos Kazantzakis, Greece (HER)
0.000389551 --- Antalya, Turkey (AYT)
0.0003887356 --- Bodo, Norway (BOO)
0.0003870858 --- San Diego Intl, United States (SAN)
0.0003866413 --- Polonia, Indonesia (MES)
0.0003858839 --- Chaklala, Pakistan (ISB)
0.0003858349 --- Kuwait Intl, Kuwait (KWI)
0.0003841551 --- Tobias Bolanos International Airport, Costa Rica (SYQ)
0.0003827461 --- Shenyang Taoxian International Airport, China (SHE)
0.0003803769 --- Wabush, Canada (YWK)
0.0003802381 --- Kahului, United States (OGG)
0.0003796262 --- Rankin Inlet, Canada (YRT)
0.0003787966 --- Goose Bay, Canada (YYR)
0.0003784071 --- Sanaa Intl, Yemen (SAH)
0.0003769181 --- Luton, United Kingdom (LTN)
0.0003767144 --- General Abelardo L Rodriguez Intl, Mexico (TIJ)
0.0003752802 --- Santo Pekoa International Airport, Vanuatu (SON)
0.0003744437 --- Princess Juliana Intl, Netherlands Antilles (SXM)
0.0003734615 --- Shiraz Shahid Dastghaib Intl, Iran (SYZ)
0.000372907 --- Langnes, Norway (TOS)
0.0003724857 --- Ben Gurion, Israel (TLV)
0.0003721063 --- Alfonso Bonilla Aragon Intl, Colombia (CLO)
0.000371907 --- Inuvik Mike Zubko, Canada (YEV)
0.0003714773 --- Okecie, Poland (WAW)
0.0003708038 --- Naha, Japan (OKA)
0.0003693243 --- King Fahd Intl, Saudi Arabia (DMM)
0.0003650965 --- Longdongbao, China (KWE)
0.0003622372 --- Sept Iles, Canada (YZV)
0.0003621541 --- Kirkwall, United Kingdom (KOI)
0.0003614382 --- Pampulha Carlos Drummond De Andrade, Brazil (PLU)
0.000361235 --- Sepinggan, Indonesia (BPN)
0.0003610575 --- Porto, Portugal (OPO)
0.000360685 --- General Mariano Escobedo Intl, Mexico (MTY)
0.0003600519 --- Thunder Bay, Canada (YQT)
0.0003599419 --- Xinzheng, China (CGO)
0.0003593439 --- Brussels South, Belgium (CRL)
0.0003590412 --- Hamburg, Germany (HAM)
0.0003582878 --- Carthage, Tunisia (TUN)
0.0003581659 --- Sentani, Indonesia (DJJ)
0.000357585 --- Baita Airport, China (HET)
0.0003569738 --- Wattay Intl, Laos (VTE)
0.0003555541 --- Leopold Sedar Senghor Intl, Senegal (DKR)
0.0003552547 --- Tenerife Sur, Spain (TFS)
0.0003517445 --- Talagi, Russia (ARH)
0.0003511605 --- Billings Logan International Airport, United States (BIL)
0.0003508019 --- Emelyanovo, Russia (KJA)
0.0003487558 --- Zhuliany Intl, Ukraine (IEV)
0.0003484973 --- Kodiak, United States (ADQ)
0.0003480314 --- Kansas City Intl, United States (MCI)
0.0003478313 --- Nashville Intl, United States (BNA)
0.0003466989 --- Gimpo, South Korea (GMP)
0.0003452456 --- Santos Dumont, Brazil (SDU)
0.0003447266 --- Chiang Mai Intl, Thailand (CNX)
0.0003443618 --- Memphis Intl, United States (MEM)
0.0003430618 --- Halifax Intl, Canada (YHZ)
0.000342951 --- Kuujjuaq, Canada (YVP)
0.0003416911 --- William P Hobby, United States (HOU)
